State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Male Workers,Female Workers,Non Workers,Agricultural Workers,Household Workers,Rural Households,Urban Households,Households,LPG or PNG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Primary Education,Secondary Education,Higher Education,Graduate Education,Households with Car Jeep Van,Ownership Owned Households,Ownership Rented Households,Sex ratio,Literacy_rate
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,757138,1074332,27667,176587,1002874,405,580,637652,119486,1541185,100684,30903,420860,185488,606348,244468,411216,14428,38445,315156,372317,243539,104345,32484,409745,14231,90.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,499822,1000743,23089,14968,538208,3476,2034,412506,87316,1086803,74362,15990,422673,128592,551265,201675,319930,13747,34328,256127,301435,176013,93618,33720,303081,17651,96.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,774472,1394329,30233,26016,718363,11385,4011,639484,134988,1419118,66664,29762,330339,377791,708130,299449,446200,39082,79134,333736,339758,216646,162965,72374,378807,61615,92.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,284165,336124,10190,5445,453692,6662,553,235562,48603,531003,42387,9861,165433,95770,261203,110555,161206,9732,23145,127031,128828,77442,48221,23561,141816,18924,91.0,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,1284822,1502403,77713,16517,1863408,2007,19620,1053600,231222,2213917,98646,71667,395032,641789,1036821,488757,703624,58589,123400,488129,527568,318876,272280,120172,570487,127020,87.0,73.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,328512,156539,10375,917,598443,123,1577,230739,97773,441239,90367,13442,145603,50786,196389,39414,140099,2673,10085,106162,85953,48663,27461,12805,140422,4905,88.0,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,359172,158414,9388,3277,818921,178,436,292379,66793,636574,82397,18098,214295,74144,288439,89445,183396,7897,21662,158812,128693,85642,37417,26253,178205,9104,89.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,335326,254920,4333,1681,638625,240,744,272699,62627,566570,111014,5187,149507,74650,224157,76441,166585,4571,14077,137470,104682,62612,36905,23185,159581,9169,90.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,660267,783306,40043,5683,1059944,245,1914,549661,110606,1235419,89123,23647,299279,218090,517369,209192,352929,24274,55105,283837,256826,157435,141947,57008,325608,28546,89.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,233676,304481,14492,2094,361045,118,653,186910,46766,450951,21520,12321,148162,60537,208699,67749,129123,6600,17542,107715,116836,68794,38823,17248,114943,14317,92.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,568758,389410,179116,2406,1077438,268,3222,485129,83629,1086411,91799,18578,292156,156788,448944,135280,305557,10736,30955,250833,220210,130155,73636,35264,294479,15033,89.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,1053722,2201663,314159,10605,6799,417,45614,686149,367573,1529330,145523,35602,409335,274919,684254,171799,393498,13499,41732,394576,200191,130608,172683,24509,437083,40066,95.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1708542,3039279,547335,2696,64532,4384,13221,994171,714371,1965637,216772,34562,782294,212967,995261,123478,485723,9750,45770,492981,324050,230415,222622,30207,595153,27599,89.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,916574,1701234,48834,22250,427,138,22613,482236,434338,880911,199370,19818,390437,39407,429844,34189,120603,2324,15062,190259,75011,50438,47094,5287,352341,10180,98.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,552583,1133349,79984,1432,3066,84,2795,329754,222829,670172,185037,15258,249184,69804,318988,32685,161310,1363,9491,194024,76209,46847,49939,5741,223828,13069,93.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,1202482,2244882,321192,1157,450,157,34010,696240,506242,1401269,132696,30565,542825,55980,598805,39580,126494,2766,37730,352636,101291,52272,39533,27009,436661,8087,90.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,1071154,2143046,371286,1576,23456,899,5758,647198,423956,1477308,238894,25068,479437,129697,609134,61113,288723,4179,26106,330336,211938,147520,132571,10349,411145,8732,88.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,1148165,2224839,142427,1978,1468,183,35149,674589,473576,1260358,163052,30149,530015,145865,675880,93768,373644,6207,24014,338296,141250,92785,106667,17508,450389,37857,97.0,52.0
